Timestamp | Filename | Snapshot | Annotation
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
2025-11-05T17:30:05.147Z | default.localsettings.v1.03.sav | 1762363805145_default.localsettings.v1.03.sav | NO ANNOTATION
2025-11-05T17:30:05.152Z | default.controllersettings.v1.03.sav | 1762363805151_default.controllersettings.v1.03.sav | NO ANNOTATION
2025-11-05T17:30:05.158Z | default.sav | 1762363805154_default.sav | NO ANNOTATION
2025-11-05T17:30:05.161Z | default.championshipeditor.v1.00.sav | 1762363805160_default.championshipeditor.v1.00.sav | baseline mercedes
2025-11-05T17:30:34.166Z | default.localsettings.v1.03.sav | 1762363834164_default.localsettings.v1.03.sav | NO ANNOTATION
2025-11-05T17:30:34.181Z | default.controllersettings.v1.03.sav | 1762363834180_default.controllersettings.v1.03.sav | NO ANNOTATION
2025-11-05T17:30:34.184Z | default.championshipeditor.v1.00.sav | 1762363834183_default.championshipeditor.v1.00.sav | NO ANNOTATION
2025-11-05T17:30:34.187Z | default.sav | 1762363834185_default.sav | changed to audi
2025-11-05T17:30:54.651Z | default.localsettings.v1.03.sav | 1762363854650_default.localsettings.v1.03.sav | NO ANNOTATION
2025-11-05T17:30:54.655Z | default.championshipeditor.v1.00.sav | 1762363854654_default.championshipeditor.v1.00.sav | NO ANNOTATION
2025-11-05T17:30:54.661Z | default.sav | 1762363854658_default.sav | NO ANNOTATION
2025-11-05T17:30:54.665Z | default.controllersettings.v1.03.sav | 1762363854663_default.controllersettings.v1.03.sav | changed to mclaren
2025-11-05T17:31:13.302Z | default.controllersettings.v1.03.sav | 1762363873301_default.controllersettings.v1.03.sav | NO ANNOTATION
2025-11-05T17:31:13.306Z | default.championshipeditor.v1.00.sav | 1762363873305_default.championshipeditor.v1.00.sav | NO ANNOTATION
2025-11-05T17:31:13.312Z | default.sav | 1762363873309_default.sav | NO ANNOTATION
2025-11-05T17:31:13.315Z | default.localsettings.v1.03.sav | 1762363873314_default.localsettings.v1.03.sav | changed to porsche
2025-11-05T17:31:37.142Z | default.localsettings.v1.03.sav | 1762363897140_default.localsettings.v1.03.sav | NO ANNOTATION
2025-11-05T17:31:37.145Z | default.championshipeditor.v1.00.sav | 1762363897144_default.championshipeditor.v1.00.sav | NO ANNOTATION
2025-11-05T17:31:37.149Z | default.controllersettings.v1.03.sav | 1762363897148_default.controllersettings.v1.03.sav | NO ANNOTATION
2025-11-05T17:31:37.154Z | default.sav | 1762363897152_default.sav | changed to nissan
