Timestamp | Filename | Snapshot | Annotation
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
2025-11-04T08:12:45.227Z | default.localsettings.v1.03.sav | 1762243965226_default.localsettings.v1.03.sav | NO ANNOTATION
2025-11-04T08:12:45.231Z | default.controllersettings.v1.03.sav | 1762243965230_default.controllersettings.v1.03.sav | NO ANNOTATION
2025-11-04T08:12:45.236Z | default.sav | 1762243965233_default.sav | NO ANNOTATION
2025-11-04T08:12:45.240Z | default.championshipeditor.v1.00.sav | 1762243965239_default.championshipeditor.v1.00.sav | NO ANNOTATION
2025-11-04T08:12:48.549Z | default.localsettings.v1.03.sav | 1762243968548_default.localsettings.v1.03.sav | chose a bmw
2025-11-04T08:13:20.250Z | default.localsettings.v1.03.sav | 1762244000249_default.localsettings.v1.03.sav | NO ANNOTATION
2025-11-04T08:13:20.267Z | default.sav | 1762244000265_default.sav | NO ANNOTATION
2025-11-04T08:13:20.269Z | default.championshipeditor.v1.00.sav | 1762244000268_default.championshipeditor.v1.00.sav | NO ANNOTATION
2025-11-04T08:13:20.271Z | default.controllersettings.v1.03.sav | 1762244000270_default.controllersettings.v1.03.sav | NO ANNOTATION
2025-11-04T08:13:23.678Z | default.localsettings.v1.03.sav | 1762244003677_default.localsettings.v1.03.sav | NO ANNOTATION
2025-11-04T08:13:26.882Z | default.localsettings.v1.03.sav | 1762244006881_default.localsettings.v1.03.sav | chose a merc
